trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 1.0, 'e': 0.9928826045698137}",25,0,-117.0533258885305,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
153,False,"{'a': 1.0, 'e': 0.9927887596586877}",25,0,-56.13798429646563,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
154,False,"{'a': 1.0, 'e': 0.9926943023455738}",20,0,-133.02556947822433,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
155,False,"{'a': 1.0, 'e': 0.9925992326887378}",25,0,-151.7476564834195,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
156,False,"{'a': 1.0, 'e': 0.9925035507468237}",20,0,-121.30587365921315,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 1.0, 'e': 0.9924072565788528}",20,0,-110.04134018195411,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
158,False,"{'a': 1.0, 'e': 0.9923103502442241}",30,0,-62.48317550501732,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
159,False,"{'a': 1.0, 'e': 0.9922128318027144}",20,0,-145.4784436275726,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
160,False,"{'a': 1.0, 'e': 0.9921147013144779}",25,14,-80.88683276152692,"{0: 6, 1: 1, 2: 1, 3: 2, 4: 1}",1
161,False,"{'a': 1.0, 'e': 0.9920159588400463}",20,0,-97.38779050946178,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
162,False,"{'a': 1.0, 'e': 0.9919166044403294}",30,0,-333.33658944829745,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 6}",0
163,False,"{'a': 1.0, 'e': 0.9918166381766134}",25,13,-7.803916622645857,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 1.0, 'e': 0.9917160601105629}",25,0,-86.44209154891809,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
165,False,"{'a': 1.0, 'e': 0.9916148703042192}",30,15,-3.7819208062502945,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 1.0, 'e': 0.9915130688200017}",20,0,-18.400707300221192,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 1.0, 'e': 0.9914106557207062}",25,0,-69.77085402226872,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
168,False,"{'a': 1.0, 'e': 0.9913076310695066}",35,0,-144.9803128710249,"{0: 24, 1: 0, 2: 9, 3: 0, 4: 2}",0
169,False,"{'a': 1.0, 'e': 0.9912039949299534}",20,9,-47.68121562029414,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
170,False,"{'a': 1.0, 'e': 0.9910997473659748}",30,12,-70.11476315539656,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 0}",1
171,False,"{'a': 1.0, 'e': 0.9909948884418758}",20,0,-97.85962934754676,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
172,False,"{'a': 1.0, 'e': 0.9908894182223387}",25,0,-41.1759056879647,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
173,False,"{'a': 1.0, 'e': 0.9907833367724228}",25,0,-175.55743453633409,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 2}",0
174,False,"{'a': 1.0, 'e': 0.9906766441575645}",20,0,-81.0767023725628,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
175,False,"{'a': 1.0, 'e': 0.9905693404435773}",20,8,-23.125603483256224,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 1.0, 'e': 0.9904614256966512}",25,0,-264.26276469433407,"{0: 9, 1: 3, 2: 8, 3: 1, 4: 4}",0
177,False,"{'a': 1.0, 'e': 0.9903528999833537}",25,0,-94.99242423905437,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
178,False,"{'a': 1.0, 'e': 0.9902437633706288}",20,0,-128.57004994668185,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
179,False,"{'a': 1.0, 'e': 0.9901340159257975}",20,4,-8.564580604338753,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 1.0, 'e': 0.9900236577165575}",20,0,-93.61340002846676,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 1.0, 'e': 0.9899126888109834}",20,0,-113.79184059611092,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
